#atomtype|element|q_min|q_max|charge_mutability|bondtype|poltype|zetatype|acmtype|epsilon_min|epsilon_max|epsilon_mutability|gamma_min|gamma_max|gamma_mutability|sigma_min|sigma_max|sigma_mutability|delta_min|delta_max|delta_mutability|radius|row|alpha_min|alpha_max|alpha_mutability|zeta_min|zeta_max|zeta_mutability|eta_min|eta_max|eta_mutability|chi_min|chi_max|chi_mutability|aexp_min|aexp_max|aexp_mutability|bexp_min|bexp_max|bexp_mutability|comment|reference
p3|P|0|0|ACM|p3_b|p3_s|p3_z|p3_z|0.5|4|Bounded|7|20|Bounded|0.3|0.6|Bounded|1|10|Bounded|0.107|3||||20|60|Bounded|4|24|Bounded|4|14|Bounded|2000|50000|Bounded|10|70|Bounded|sp3 phosphor|
p3_s|X|-6|-1|Bounded|||p3_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|3|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|sp3 phosphor shell|
s1|S|0|0|ACM|s1_b|s1_s|s1_z|s1_z|0.6|4|Bounded|7|20|Bounded|0.3|0.6|Bounded|1|10|Bounded|0.105|3||||20|60|Bounded|4|24|Bounded|4|9|Bounded|2000|50000|Bounded|10|70|Bounded|sp sulfur|
s1_s|X|-6|-1|Bounded|||s1_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|3|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|sp sulfur shell|
s2|S|0|0|ACM|s2_b|s2_s|s2_z|s2_z|0.6|4|Bounded|7|20|Bounded|0.3|0.6|Bounded|1|10|Bounded|0.105|3||||20|60|Bounded|4|24|Bounded|4|9|Bounded|2000|50000|Bounded|10|70|Bounded|sp2 sulfur|
s2_s|X|-6|-1|Bounded|||s2_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|3|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|sp2 sulfur shell|
s3|S|0|0|ACM|s3_b|s3_s|s3_z|s3_z|0.6|4|Bounded|7|20|Bounded|0.3|0.6|Bounded|1|10|Bounded|0.105|3||||20|60|Bounded|4|24|Bounded|4|9|Bounded|2000|50000|Bounded|10|70|Bounded|sp3 sulfur|
s3_s|X|-6|-1|Bounded|||s3_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|3|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|sp3 sulfur shell|
cl|Cl|0|0|ACM|cl_b|cl_s|cl_z|cl_z|0.4|4|Bounded|7|20|Bounded|0.3|0.6|Bounded|1|10|Bounded|0.102|3||||20|60|Bounded|4|24|Bounded|4|14|Bounded|2000|50000|Bounded|10|70|Bounded|chlorine|
cl_s|X|-6|-1|Bounded|||cl_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|2|5|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|chlorine shell|
br|Br|0|0|ACM|br_b|br_s|br_z|br_z|0.6|6|Bounded|7|20|Bounded|0.3|0.7|Bounded|1|10|Bounded|0.12|4||||20|60|Bounded|4|24|Bounded|4|14|Bounded|2000|50000|Bounded|10|70|Bounded|bromine|
br_s|X|-6|-1|Bounded|||br_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|3|7|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|bromine shell|
i|I|0|0|ACM|i_b|i_s|i_z|i_z|0.8|8|Bounded|7|20|Bounded|0.3|0.8|Bounded|1|10|Bounded|0.139|5||||20|60|Bounded|4|24|Bounded|4|14|Bounded|2000|50000|Bounded|10|70|Bounded|iodine|
i_s|X|-6|-1|Bounded|||i_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|4|10|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|iodine shell|
# Virtual site particle|can be turned on or off independently|||||||||||||||||||||||||||||||||||||||||
v2f1|VS|0|1|Bounded|v2f1||v2f1_z||0|1|Bounded|0|1|Bounded|0|0.5|Bounded|0|1|Bounded|0|0||||5|20|Bounded|4|4|Fixed|4|4|Fixed|2000|50000|Bounded|10|70|Bounded|bond virtual site|
v2cl1|VS|0|1|Bounded|v2cl1||v2cl1_z||0|1|Bounded|0|1|Bounded|0|0.5|Bounded|0|1|Bounded|0|0||||5|20|Bounded|4|4|Fixed|4|4|Fixed|0|0|Bounded|10|70|Bounded|bond virtual site|
v2br1|VS|0|1|Bounded|v2br1||v2br1_z||0|1|Bounded|0|1|Bounded|0|0.5|Bounded|0|1|Bounded|0|0||||5|20|Bounded|4|4|Fixed|4|4|Fixed|2000|50000|Bounded|10|70|Bounded|bond virtual site|
v2i1|VS|0|1|Bounded|v2i1||v2i1_z||0|1|Bounded|0|1|Bounded|0|0.5|Bounded|0|1|Bounded|0|0||||5|20|Bounded|4|4|Fixed|4|4|Fixed|0|0|Bounded|10|70|Bounded|bond virtual site|
v2f2|VS|-2|2|Bounded|v2f2||v2f2_z||0|1|Bounded|0|1|Bounded|0|0.5|Bounded|0|1|Bounded|0|0||||5|20|Bounded|4|4|Fixed|4|4|Fixed|2000|50000|Bounded|10|70|Bounded|bond virtual site|
v2cl2|VS|-2|2|Bounded|v2cl2||v2cl2_z||0|1|Bounded|0|1|Bounded|0|0.5|Bounded|0|1|Bounded|0|0||||5|20|Bounded|4|4|Fixed|4|4|Fixed|0|0|Bounded|10|70|Bounded|bond virtual site|
v2br2|VS|-2|2|Bounded|v2br2||v2br2_z||0|1|Bounded|0|1|Bounded|0|0.5|Bounded|0|1|Bounded|0|0||||5|20|Bounded|4|4|Fixed|4|4|Fixed|2000|50000|Bounded|10|70|Bounded|bond virtual site|
v2i2|VS|-2|2|Bounded|v2i2||v2i2_z||0|1|Bounded|0|1|Bounded|0|0.5|Bounded|0|1|Bounded|0|0||||5|20|Bounded|4|4|Fixed|4|4|Fixed|0|0|Bounded|10|70|Bounded|bond virtual site|
v2f3|VS|-2|2|Bounded|v2f3||v2f3_z||0|1|Bounded|0|1|Bounded|0|0.5|Bounded|0|1|Bounded|0|0||||5|20|Bounded|4|4|Fixed|4|4|Fixed|2000|50000|Bounded|10|70|Bounded|bond virtual site|
v2cl3|VS|-2|2|Bounded|v2cl3||v2cl3_z||0|1|Bounded|0|1|Bounded|0|0.5|Bounded|0|1|Bounded|0|0||||5|20|Bounded|4|4|Fixed|4|4|Fixed|0|0|Bounded|10|70|Bounded|bond virtual site|
v2br3|VS|-2|2|Bounded|v2br3||v2br3_z||0|1|Bounded|0|1|Bounded|0|0.5|Bounded|0|1|Bounded|0|0||||5|20|Bounded|4|4|Fixed|4|4|Fixed|2000|50000|Bounded|10|70|Bounded|bond virtual site|
v2i3|VS|-2|2|Bounded|v2i3||v2i3_z||0|1|Bounded|0|1|Bounded|0|0.5|Bounded|0|1|Bounded|0|0||||5|20|Bounded|4|4|Fixed|4|4|Fixed|0|0|Bounded|10|70|Bounded|bond virtual site|
v3Ow|VS|-0.3|0.3|Bounded|v3Ow||v3Ow_z||0|0|Bounded|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0||||2|10|Bounded|4|24|Bounded|4|9|Bounded|0|0|Fixed|10|10|Fixed|Water lone pair virtual site|
v3bw|VS|-1.5|-0.5|Bounded|v3bw||v3bw_z||0|0|Bounded|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0||||2|10|Bounded|4|24|Bounded|4|9|Bounded|2000|50000|Fixed|10|10|Fixed|Water bisector virtual site|
# Ions|that can not use any ACM algorithm for charges|||||||||||||||||||||||||||||||||||||||||
Be2+|Be|0|0|ACM||Be2+_s|Be2+_z|Be2+_z|0.2|0.2|Bounded|10|20|Bounded|0.08|0.2|Bounded|1|6|Bounded|0.059|1||||20|60|Bounded|4|24|Bounded|4|9|Bounded|2000|50000|Bounded|10|70|Bounded|beryllium ion|
Be2+_s|X|-2|-0.5|Bounded|||Be2+_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|1|0.1|0.5|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|beryllium ion shell|
Ca2+|Ca|0|0|ACM||Ca2+_s|Ca2+_z|Ca2+_z|0.2|0.2|Bounded|10|20|Bounded|0.08|0.2|Bounded|1|6|Bounded|0.114|1||||20|60|Bounded|4|24|Bounded|4|9|Bounded|2000|50000|Bounded|10|70|Bounded|calcium ion|
Ca2+_s|X|-6|-0.5|Bounded|||Ca2+_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|1|0.1|0.5|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|calcium ion shell|
Mg2+|Mg|0|0|ACM||Mg2+_s|Mg2+_z|Mg2+_z|0.2|0.2|Bounded|10|20|Bounded|0.08|0.2|Bounded|1|6|Bounded|0.141|1||||20|60|Bounded|4|24|Bounded|4|9|Bounded|2000|50000|Bounded|10|70|Bounded|magnesium ion|?
Mg2+_s|X|-4|-0.5|Bounded|||Mg2+_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|1|0.1|0.5|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|magnesium ion shell|
Na+|Na|0|0|ACM||Na+_s|Na+_z|Na+_z|0.2|1.2|Bounded|10|20|Bounded|0.08|0.2|Bounded|1|6|Bounded|0.166|1||||20|60|Bounded|4|24|Bounded|4|9|Bounded|2000|50000|Bounded|10|70|Bounded|sodium ion|Walz2018a
Na+_s|X|-7|-0.5|Bounded|||Na+_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|1|0.1|0.6|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|sodium ion shell|
Cl-|Cl|0|0|ACM||Cl-_s|Cl-_z|Cl-_z|0.2|5|Bounded|10|20|Bounded|0.08|0.2|Bounded|1|6|Bounded|0.167|1||||20|60|Bounded|4|24|Bounded|4|9|Bounded|2000|50000|Bounded|10|70|Bounded|chloride ion|Walz2018a
Cl-_s|X|-9|-2|Bounded|||Cl-_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|1|2|5|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|chloride ion shell|
I-|I|0|0|ACM||I-_s|I-_z|I-_z|0.2|5|Bounded|10|20|Bounded|0.08|0.2|Bounded|1|6|Bounded|0.206|1||||20|60|Bounded|4|24|Bounded|4|9|Bounded|2000|50000|Bounded|10|70|Bounded|iodide ion|Walz2018a
I-_s|X|-9|-2|Bounded|||I-_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|1|5|10|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|iodide ion shell|
F-|F|0|0|ACM||F-_s|F-_z|F-_z|0.2|2|Bounded|10|20|Bounded|0.08|0.2|Bounded|1|6|Bounded|0.119|1||||20|60|Bounded|4|24|Bounded|4|9|Bounded|2000|50000|Bounded|10|70|Bounded|fluoride ion|Walz2018a
F-_s|X|-9|-2|Bounded|||F-_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|1|1|2|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|fluoride ion shell|
Rb+|Rb|0|0|ACM||Rb+_s|Rb+_z|Rb+_z|0.2|3|Bounded|10|20|Bounded|0.08|0.2|Bounded|1|6|Bounded|0.166|1||||20|60|Bounded|4|24|Bounded|4|9|Bounded|2000|50000|Bounded|10|70|Bounded|rubidium ion|Walz2018a
Rb+_s|X|-7|-0.5|Bounded|||Rb+_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|1|1|2|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|rubidium ion shell|
Li+|Li|0|0|ACM||Li+_s|Li+_z|Li+_z|0.2|1.2|Bounded|10|20|Bounded|0.08|0.2|Bounded|1|6|Bounded|0.09|1||||20|60|Bounded|4|24|Bounded|4|9|Bounded|2000|50000|Bounded|10|70|Bounded|lithium ion|Walz2018a
Li+_s|X|-7|-0.5|Bounded|||Li+_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|1|0|0.2|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|lithium ion shell|
Br-|Br|0|0|ACM||Br-_s|Br-_z|Br-_z|0.2|4|Bounded|10|20|Bounded|0.08|0.2|Bounded|1|6|Bounded|0.182|1||||20|60|Bounded|4|24|Bounded|4|9|Bounded|2000|50000|Bounded|10|70|Bounded|bromide ion|Walz2018a
Br-_s|X|-9|-2|Bounded|||Br-_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|1|3|7|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|bromide ion shell|
Cs+|Cs|0|0|ACM||Cs+_s|Cs+_z|Cs+_z|0.2|4|Bounded|10|20|Bounded|0.08|0.2|Bounded|1|6|Bounded|0.181|1||||20|60|Bounded|4|24|Bounded|4|9|Bounded|2000|50000|Bounded|10|70|Bounded|cesium ion|Walz2018a
Cs+_s|X|-7|-0.5|Bounded|||Cs+_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|1|1|4|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|cesium ion shell|
K+|K|0|0|ACM||K+_s|K+_z|K+_z|0.2|2|Bounded|10|20|Bounded|0.08|0.2|Bounded|1|6|Bounded|0.152|1||||20|60|Bounded|4|24|Bounded|4|9|Bounded|2000|50000|Bounded|10|70|Bounded|potassium ion|Walz2018a
K+_s|X|-7|-0.5|Bounded|||K+_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|1|0.4|1.2|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|potassium ion shell|
He|He|0|0|ACM||he_s|he_z|he_z|0.03|3|Bounded|10|25|Bounded|0.15|0.4|Bounded|1|25|Bounded|0.031|1||||20|60|Bounded|6|24|Bounded|2|5|Bounded|2000|50000|Bounded|10|70|Bounded|he|
he_s|X|-2|-0.5|Bounded|||he_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|1|0.208|0.208|Fixed|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|he shell|https://cccbdb.nist.gov/pollistx.asp
Ne|Ne|0|0|ACM||ne_s|ne_z|ne_z|0.03|3|Bounded|10|25|Bounded|0.15|0.4|Bounded|1|25|Bounded|0.031|1||||20|60|Bounded|6|24|Bounded|2|5|Bounded|2000|50000|Bounded|10|70|Bounded|ne|
ne_s|X|-2|-0.5|Bounded|||ne_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|1|0.381|0.381|Fixed|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|ne shell|https://cccbdb.nist.gov/pollistx.asp
Ar|Ar|0|0|ACM||ar_s|ar_z|ar_z|0.03|3|Bounded|10|25|Bounded|0.15|0.5|Bounded|1|25|Bounded|0.031|1||||20|60|Bounded|6|24|Bounded|2|5|Bounded|2000|50000|Bounded|10|70|Bounded|ar|
ar_s|X|-2|-0.5|Bounded|||ar_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|1|1.664|1.664|Fixed|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|ar shell|https://cccbdb.nist.gov/pollistx.asp
Kr|Kr|0|0|ACM||kr_s|kr_z|kr_z|0.03|3|Bounded|10|25|Bounded|0.15|0.6|Bounded|1|25|Bounded|0.031|1||||20|60|Bounded|6|24|Bounded|2|5|Bounded|2000|50000|Bounded|10|70|Bounded|kr|
kr_s|X|-2|-0.5|Bounded|||kr_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|1|2.498|2.498|Fixed|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|kr shell|https://cccbdb.nist.gov/pollistx.asp
Xe|Xe|0|0|ACM||xe_s|xe_z|xe_z|0.03|3|Bounded|10|25|Bounded|0.15|0.7|Bounded|1|25|Bounded|0.031|1||||20|60|Bounded|6|24|Bounded|2|5|Bounded|2000|50000|Bounded|10|70|Bounded|xe|
xe_s|X|-2|-0.5|Bounded|||xe_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|1|4.005|4.005|Fixed|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|xe shell|https://cccbdb.nist.gov/pollistx.asp
